Codice;Sigla;Descrizione Prodotto;Listino Febbraio 2026 Euro cad.;
SERIE MODULARE SIEI ARTEn;;;;
Serie Modulare Schrack;;;;
Interruttori Automatici Magnetotermici 4,5kA - curva C - 1 Polo+N (1 Mod.) - Serie SI-E (BS);;;;
A3B44;BS417502;INTERR. AUTOMATICO 1 POLO + N -  2A/  4,5kA curva C 1mod.; 	17,81 ;
A3B45;BS417504;INTERR. AUTOMATICO 1 POLO + N -  4A/  4,5kA curva C 1mod.; 	16,69 ;
A3B46;BS417506;INTERR. AUTOMATICO 1 POLO + N -  6A/  4,5kA curva C 1mod.; 	13,46 ;
A3B47;BS417510;INTERR. AUTOMATICO 1 POLO + N - 10A/  4,5kA curva C 1mod.; 	13,46 ;
A3B48;BS417516;INTERR. AUTOMATICO 1 POLO + N - 16A/  4,5kA curva C 1mod.; 	13,46 ;
A3B49;BS417520;INTERR. AUTOMATICO 1 POLO + N - 20A/  4,5kA curva C 1mod.; 	13,46 ;
A3B4A;BS417525;INTERR. AUTOMATICO 1 POLO + N - 25A/ 4,5kA curva C 1mod.; 	13,80 ;
A3B4B;BS417532;INTERR. AUTOMATICO 1 POLO + N - 32A/ 4,5kA curva C 1mod.; 	16,39 ;
A3B4C;BS417540;INTERR. AUTOMATICO 1 POLO + N - 40A/ 4,5kA curva C 1mod.; 	16,39 ;
Interruttori Automatici Magnetotermici 6kA - curva C - 1 Polo+N (1 Mod.) - Serie SI-E (BS);;;;
A3B4M;BS017502;INTERR. AUTOMATICO 1 POLO + N -  2A/  6kA curva C 1mod.; 	34,25 ;
A3B4N;BS017504;INTERR. AUTOMATICO 1 POLO + N -  4A/  6kA curva C 1mod.; 	34,25 ;
A3B4P;BS017506;INTERR. AUTOMATICO 1 POLO + N -  6A/  6kA curva C 1mod.; 	33,64 ;
A3B4Q;BS017510;INTERR. AUTOMATICO 1 POLO + N - 10A/  6kA curva C 1mod.; 	20,58 ;
A3B4R;BS017516;INTERR. AUTOMATICO 1 POLO + N - 16A/  6kA curva C 1mod.; 	20,58 ;
A3B4S;BS017520;INTERR. AUTOMATICO 1 POLO + N - 20A/  6kA curva C 1mod.; 	34,39 ;
A3B4T;BS017525;INTERR. AUTOMATICO 1 POLO + N - 25A/ 6kA curva C 1mod.; 	34,82 ;
A3B4U;BS017532;INTERR. AUTOMATICO 1 POLO + N - 32A/ 6kA curva C 1mod.; 	35,39 ;
Interruttori Automatici Magnetotermici 4,5kA - curva B - 1 Polo - Serie BMS4;;;;
A3B55;BM418106;INTERR. AUTOMATICO 1 POLO -  6A/ 4,5kA curva B 1mod.; 	8,51 ;
A3B56;BM418110;INTERR. AUTOMATICO 1 POLO - 10A/ 4,5kA curva B 1mod.; 	8,05 ;
A3B58;BM418120;INTERR. AUTOMATICO 1 POLO - 20A/ 4,5kA curva B 1mod.; 	8,05 ;
A3B5A;BM418132;INTERR. AUTOMATICO 1 POLO - 32A/ 4,5kA curva B 1mod.; 	9,25 ;
Interruttori Automatici Magnetotermici 4,5kA - curva B - 2 Poli - Serie BMS4;;;;
A3B5L;BM418206;INTERR. AUTOMATICO 2 POLI -  6A/ 4,5kA curva B 2 moduli; 	18,77 ;
A3B5M;BM418210;INTERR. AUTOMATICO 2 POLI - 10A/ 4,5kA curva B 2 moduli; 	18,77 ;
A3B5N;BM418216;INTERR. AUTOMATICO 2 POLI - 16A/ 4,5kA curva B 2 moduli; 	18,77 ;
A3B5P;BM418220;INTERR. AUTOMATICO 2 POLI - 20A/ 4,5kA curva B 2 moduli; 	23,13 ;
A3B5S;BM418240;INTERR. AUTOMATICO 2 POLI - 40A/ 4,5kA curva B 2 moduli; 	23,13 ;
Interruttori Automatici Magnetotermici 4,5kA - curva B - 3 Poli - Serie BMS4;;;;
A3B61;BM418306;INTERR. AUTOMATICO 3 POLI -  6A/ 4,5kA curva B 3 moduli; 	28,38 ;
A3B63;BM418316;INTERR. AUTOMATICO 3 POLI - 16A/ 4,5kA curva B 3 moduli; 	25,99 ;
A3B64;BM418320;INTERR. AUTOMATICO 3 POLI - 20A/ 4,5kA curva B 3 moduli; 	25,99 ;
A3B65;BM418325;INTERR. AUTOMATICO 3 POLI - 25A/ 4,5kA curva B 3 moduli; 	29,07 ;
A3B66;BM418332;INTERR. AUTOMATICO 3 POLI - 32A/ 4,5kA curva B 3 moduli; 	31,18 ;
A3B67;BM418340;INTERR. AUTOMATICO 3 POLI - 40A/ 4,5kA curva B 3 moduli; 	31,18 ;
Interruttori Automatici Magnetotermici 4,5kA - curva C - 1 Polo - Serie BMS4;;;;
A3B6X;BM417102;INTERR. AUTOMATICO 1 POLO -  2A/ 4,5kA curva C 1mod.; 	15,97 ;
A3B6Y;BM417104;INTERR. AUTOMATICO 1 POLO -  4A/ 4,5kA curva C 1mod.; 	15,97 ;
A3B6Z;BM417106;INTERR. AUTOMATICO 1 POLO -  6A/ 4,5kA curva C 1mod.; 	8,51 ;
A3B71;BM417110;INTERR. AUTOMATICO 1 POLO - 10A/ 4,5kA curva C 1mod.; 	8,09 ;
A3B72;BM417116;INTERR. AUTOMATICO 1 POLO - 16A/ 4,5kA curva C 1mod.; 	8,09 ;
A3B73;BM417120;INTERR. AUTOMATICO 1 POLO - 20A/ 4,5kA curva C 1mod.; 	8,05 ;
A3B74;BM417125;INTERR. AUTOMATICO 1 POLO - 25A/ 4,5kA curva C 1mod.; 	8,51 ;
